LexToken(func,'func',1,0)
LexToken(id,'AddTwo',1,5)
LexToken(lparen,'(',1,12)
LexToken(id,'a',1,13)
LexToken(rparen,')',1,14)
LexToken(lkey,'{',1,16)
LexToken(id,'a',1,20)
LexToken(equal,'=',1,22)
LexToken(id,'a',1,24)
LexToken(plus,'+',1,26)
LexToken(id,'a',1,28)
LexToken(plus,'+',1,30)
LexToken(lparen,'(',1,32)
LexToken(id,'a',1,33)
LexToken(rparen,')',1,34)
LexToken(comma,',',1,35)
LexToken(return,'return',1,39)
LexToken(id,'a',1,46)
LexToken(plus,'+',1,48)
LexToken(int,2,1,50)
LexToken(comma,',',1,51)
LexToken(rkey,'}',1,53)
LexToken(id,'AddOne',1,56)
LexToken(lparen,'(',1,63)
LexToken(id,'a',1,64)
LexToken(rparen,')',1,65)
LexToken(lkey,'{',1,67)
LexToken(return,'return',1,71)
LexToken(id,'a',1,78)
LexToken(plus,'+',1,80)
LexToken(int,1,1,82)
LexToken(comma,',',1,83)
LexToken(rkey,'}',1,85)
LexToken(main,'main',1,88)
LexToken(lparen,'(',1,93)
LexToken(rparen,')',1,94)
LexToken(lkey,'{',1,96)
LexToken(var,'var',1,101)
LexToken(id,'a',1,105)
LexToken(equal,'=',1,107)
LexToken(exec,'exec',1,109)
LexToken(id,'AddOne',1,114)
LexToken(lparen,'(',1,120)
LexToken(int,1,1,121)
LexToken(rparen,')',1,122)
LexToken(comma,',',1,123)
LexToken(var,'var',1,127)
LexToken(id,'b',1,131)
LexToken(equal,'=',1,133)
LexToken(exec,'exec',1,135)
LexToken(id,'AddTwo',1,140)
LexToken(lparen,'(',1,146)
LexToken(int,1,1,147)
LexToken(rparen,')',1,148)
LexToken(comma,',',1,149)
LexToken(if,'if',1,153)
LexToken(id,'a',1,156)
LexToken(greater,'>',1,158)
LexToken(int,5,1,160)
LexToken(lkey,'{',1,162)
LexToken(print,'print',1,169)
LexToken(lparen,'(',1,174)
LexToken(string,'"True"',1,175)
LexToken(rparen,')',1,181)
LexToken(comma,',',1,182)
LexToken(rkey,'}',1,186)
LexToken(else,'else',1,190)
LexToken(lkey,'{',1,195)
LexToken(print,'print',1,201)
LexToken(lparen,'(',1,206)
LexToken(string,'"False"',1,207)
LexToken(rparen,')',1,214)
LexToken(comma,',',1,215)
LexToken(rkey,'}',1,217)
