Nonterminal,func,lparen,rparen,lkey,rkey,main,id,comma,print,var,equal,read,exec,if,elif,else,while,for,return,comment,multicomment,plus,minus,times,divide,less,greater,equalequal,lessequal,greaterequal,diferent,and,or,string,null,int,float,true,false,$
Program,FunctionDeclaration' MainFunction,,,,,FunctionDeclaration' MainFunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FunctionDeclaration' MainFunction
FunctionDeclaration',FunctionDeclaration,,,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionDeclaration,func FunctionName lparen Parameters rparen lkey Statements rkey FunctionDeclaration',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MainFunction,,,,,,main lparen rparen lkey Statements rkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionName,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters,,,Parameters',,,,id Parameters',Parameters',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters',,,ε,,,,,comma id Parameters',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statements,,,,,,,Statement Statements',,Statement Statements',Statement Statements',,,Statement Statements',Statement Statements',,,Statement Statements',Statement Statements',Statement Statements',Statement Statements',Statement Statements',,,,,,,,,,,,,,,,,,,
Statements',,,,,ε,,Statement Statements',,Statement Statements',Statement Statements',,,Statement Statements',Statement Statements',,,Statement Statements',Statement Statements',Statement Statements',Statement Statements',Statement Statements',,,,,,,,,,,,,,,,,,,
Statement,,,,,,,Assignment comma,,Print comma,VariableDeclaration comma,,,FunctionCall comma,Conditional,,,Loop,Loop,ReturnStatement comma,Comment,Comment,,,,,,,,,,,,,,,,,,,
Print,,,,,,,,,print lparen SentParameters rparen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VariableDeclaration,,,,,,,,,,var id equal Expressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assignment,,,,,,,id equal Expressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expressions,,Terms Expressions',,,,,Terms Expressions',,,,,Terms Expressions',Terms Expressions',,,,,,,,,,,,,,,,,,,,,Terms Expressions',Terms Expressions',Terms Expressions',Terms Expressions',Terms Expressions',Terms Expressions',
Expressions',,,ε,ε,,,,ε,,,,,,,,,,,,,,ArithOperator Terms Expressions',ArithOperator Terms Expressions',,,ComparisonOperator Terms Expressions',ComparisonOperator Terms Expressions',ComparisonOperator Terms Expressions',ComparisonOperator Terms Expressions',ComparisonOperator Terms Expressions',ComparisonOperator Terms Expressions',ε,ε,,,,,,,
Terms,,Expression' Factor,,,,,Expression' Factor,,,,,Expression' Factor,Expression' Factor,,,,,,,,,,,,,,,,,,,,,Expression' Factor,Expression' Factor,Expression' Factor,Expression' Factor,Expression' Factor,Expression' Factor,
Factor,,,ε,ε,,,,ε,,,,,,,,,,,,,,ε,ε,ArithOperator' Expression' Factor,ArithOperator' Expression' Factor,ε,ε,ε,ε,ε,ε,ε,ε,,,,,,,
Expression',,lparen Expressions rparen,,,,,id,,,,,read lparen rparen,FunctionCall,,,,,,,,,,,,,,,,,,,,,Value,Value,Value,Value,Value,Value,
FunctionCall,,,,,,,,,,,,,exec FunctionName lparen SentParameters rparen,,,,,,,,,,,,,,,,,,,,,,,,,,,
