Nonterminal,func,(,),{,},ε,main,id,comma,var,=,exec,if,elif,else,while,for,return,//,text,/*,*/,jump,+,-,*,/,<,>,==,<=,>=,!=,&,|,string,null,int,float,true,false,$
Program,FunctionDeclaration' MainFunction,,,,,FunctionDeclaration' MainFunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionDeclaration,func FunctionName ( Parameters ) { Statements } FunctionDeclaration',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionDeclaration',FunctionDeclaration,,,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MainFunction,,,,,,,main ( ) { Statements },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionName,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters,,,,,,Parameters',,id Parameters',Parameters',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters',,,,,,ε,,,comma id Parameters',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statements,,,,,,,,Statement Statements',,Statement Statements',,Statement Statements',Statement Statements',,,Statement Statements',Statement Statements',Statement Statements',Statement Statements',,Statement Statements',,,,,,,,,,,,,,,,,,,,,
Statements',,,,,,ε,,Statement Statements',,Statement Statements',,Statement Statements',Statement Statements',,,Statement Statements',Statement Statements',Statement Statements',Statement Statements',,Statement Statements',,,,,,,,,,,,,,,,,,,,,
Statement,,,,,,,,Assignment End,,VariableDeclaration End,,FunctionCall End,Conditional,,,Loop,Loop,ReturnStatement End,Comment,,Comment,,,,,,,,,,,,,,,,,,,,,
VariableDeclaration,,,,,,,,,,var id = Expressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assignment,,,,,,,,id = Expressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expressions,,Terms Expressions',,,,,,Terms Expressions',,,,Terms Expressions',,,,,,,,,,,,,,,,,,,,,,,,Terms Expressions',Terms Expressions',Terms Expressions',Terms Expressions',Terms Expressions',Terms Expressions',
